U+0041 U+0061
U+1041E U+10446
U+1041F U+10447
U+10420 U+10448
U+10421 U+10449
U+10422 U+1044A
U+10423 U+1044B
U+10424 U+1044C
U+10425 U+1044D
U+10426 U+1044E
U+10427 U+1044F
U+104B0 U+104D8
U+104B1 U+104D9
U+104B2 U+104DA
U+104B3 U+104DB
U+104B4 U+104DC
U+104B5 U+104DD
U+104B6 U+104DE
U+104B7 U+104DF
U+104B8 U+104E0
U+104B9 U+104E1
U+104BA U+104E2
U+104BB U+104E3
U+104BC U+104E4
U+104BD U+104E5
U+104BE U+104E6
U+104BF U+104E7
U+104C0 U+104E8
U+104C1 U+104E9
U+104C2 U+104EA
U+104C3 U+104EB
U+104C4 U+104EC
U+104C5 U+104ED
U+104C6 U+104EE
U+104C7 U+104EF
U+104C8 U+104F0
U+104C9 U+104F1
U+104CA U+104F2
U+104CB U+104F3
U+104CC U+104F4
U+104CD U+104F5
U+104CE U+104F6
U+104CF U+104F7
U+104D0 U+104F8
U+104D1 U+104F9
U+104D2 U+104FA
U+104D3 U+104FB
U+10570 U+10597
U+10571 U+10598
U+10572 U+10599
U+10573 U+1059A
U+10574 U+1059B
U+10575 U+1059C
U+10576 U+1059D
U+10577 U+1059E
U+10578 U+1059F
U+10579 U+105A0
U+1057A U+105A1
U+1057C U+105A3
U+1057D U+105A4
U+1057E U+105A5
U+1057F U+105A6
U+10580 U+105A7
U+10581 U+105A8
U+10582 U+105A9
U+10583 U+105AA
U+10584 U+105AB
U+10585 U+105AC
U+10586 U+105AD
U+10587 U+105AE
U+10588 U+105AF
U+10589 U+105B0
U+1058A U+105B1
U+1058C U+105B3
U+1058D U+105B4
U+1058E U+105B5
U+1058F U+105B6
U+10590 U+105B7
U+10591 U+105B8
U+10592 U+105B9
U+10594 U+105BB
U+10595 U+105BC
U+10C80 U+10CC0
U+10C81 U+10CC1
U+10C82 U+10CC2
U+10C83 U+10CC3
U+10C84 U+10CC4
U+10C85 U+10CC5
U+10C86 U+10CC6
U+10C87 U+10CC7
U+10C88 U+10CC8
U+10C89 U+10CC9
U+10C8A U+10CCA
U+10C8B U+10CCB
U+10C8C U+10CCC
U+10C8D U+10CCD
U+10C8E U+10CCE
U+10C8F U+10CCF
U+10C90 U+10CD0
U+10C91 U+10CD1
U+10C92 U+10CD2
U+10C93 U+10CD3
U+10C94 U+10CD4
U+10C95 U+10CD5
U+10C96 U+10CD6
U+10C97 U+10CD7
U+10C98 U+10CD8
U+10C99 U+10CD9
U+10C9A U+10CDA
U+10C9B U+10CDB
U+10C9C U+10CDC
U+10C9D U+10CDD
U+10C9E U+10CDE
U+10C9F U+10CDF
U+10CA0 U+10CE0
U+10CA1 U+10CE1
U+10CA2 U+10CE2
U+10CA3 U+10CE3
U+10CA4 U+10CE4
U+10CA5 U+10CE5
U+10CA6 U+10CE6
U+10CA7 U+10CE7
U+10CA8 U+10CE8
U+10CA9 U+10CE9
U+10CAA U+10CEA
U+10CAB U+10CEB
U+10CAC U+10CEC
U+10CAD U+10CED
U+10CAE U+10CEE
U+10CAF U+10CEF
U+10CB0 U+10CF0
U+10CB1 U+10CF1
U+10CB2 U+10CF2
U+10D50 U+10D70
U+10D51 U+10D71
U+10D52 U+10D72
U+10D53 U+10D73
U+10D54 U+10D74
U+10D55 U+10D75
U+10D56 U+10D76
U+10D57 U+10D77
U+10D58 U+10D78
U+10D59 U+10D79
U+10D5A U+10D7A
U+10D5B U+10D7B
U+10D5C U+10D7C
U+10D5D U+10D7D
U+10D5E U+10D7E
U+10D5F U+10D7F
U+10D60 U+10D80
U+10D61 U+10D81
U+10D62 U+10D82
U+10D63 U+10D83
U+10D64 U+10D84
U+10D65 U+10D85
U+118A0 U+118C0
U+118A1 U+118C1
U+118A2 U+118C2
U+118A3 U+118C3
U+118A4 U+118C4
U+118A5 U+118C5
U+118A6 U+118C6
U+118A7 U+118C7
U+118A8 U+118C8
U+118A9 U+118C9
U+118AA U+118CA
U+118AB U+118CB
U+118AC U+118CC
U+118AD U+118CD
U+118AE U+118CE
U+118AF U+118CF
U+118B0 U+118D0
U+118B1 U+118D1
U+118B2 U+118D2
U+118B3 U+118D3
U+118B4 U+118D4
U+118B5 U+118D5
U+118B6 U+118D6
U+118B7 U+118D7
U+118B8 U+118D8
U+118B9 U+118D9
U+118BA U+118DA
U+118BB U+118DB
U+118BC U+118DC
U+118BD U+118DD
U+118BE U+118DE
U+118BF U+118DF
U+16E40 U+16E60
U+16E41 U+16E61
U+16E42 U+16E62
U+16E43 U+16E63
U+16E44 U+16E64
U+16E45 U+16E65
U+16E46 U+16E66
U+16E47 U+16E67
U+16E48 U+16E68
U+16E49 U+16E69
U+16E4A U+16E6A
U+16E4B U+16E6B
U+16E4C U+16E6C
U+16E4D U+16E6D
U+16E4E U+16E6E
U+16E4F U+16E6F
U+16E50 U+16E70
U+16E51 U+16E71
U+16E52 U+16E72
U+16E53 U+16E73
U+16E54 U+16E74
U+16E55 U+16E75
U+16E56 U+16E76
U+16E57 U+16E77
U+16E58 U+16E78
U+16E59 U+16E79
U+16E5A U+16E7A
U+16E5B U+16E7B
U+16E5C U+16E7C
U+16E5D U+16E7D
U+16E5E U+16E7E
U+16E5F U+16E7F
U+16EA0 U+16EBB
U+16EA1 U+16EBC
U+16EA2 U+16EBD
U+16EA3 U+16EBE
U+16EA4 U+16EBF
U+16EA5 U+16EC0
U+16EA6 U+16EC1
U+16EA7 U+16EC2
U+16EA8 U+16EC3
U+16EA9 U+16EC4
U+16EAA U+16EC5
U+16EAB U+16EC6
U+16EAC U+16EC7
U+16EAD U+16EC8
U+16EAE U+16EC9
U+16EAF U+16ECA
U+16EB0 U+16ECB
U+16EB1 U+16ECC
U+16EB2 U+16ECD
U+16EB3 U+16ECE
U+16EB4 U+16ECF
U+16EB5 U+16ED0
U+16EB6 U+16ED1
U+16EB7 U+16ED2
U+16EB8 U+16ED3
U+1E900 U+1E922
U+1E901 U+1E923
U+1E902 U+1E924
U+1E903 U+1E925
U+1E904 U+1E926
U+1E905 U+1E927
U+1E906 U+1E928
U+1E907 U+1E929
U+1E908 U+1E92A
U+1E909 U+1E92B
U+1E90A U+1E92C
U+1E90B U+1E92D
U+1E90C U+1E92E
U+1E90D U+1E92F
U+1E90E U+1E930
U+1E90F U+1E931
U+1E910 U+1E932
U+1E911 U+1E933
U+1E912 U+1E934
U+1E913 U+1E935
U+1E914 U+1E936
U+1E915 U+1E937
U+1E916 U+1E938
U+1E917 U+1E939
U+1E918 U+1E93A
U+1E919 U+1E93B
U+1E91A U+1E93C
U+1E91B U+1E93D
U+1E91C U+1E93E
U+1E91D U+1E93F
U+1E91E U+1E940
U+1E91F U+1E941
U+1E920 U+1E942
U+1E921 U+1E943
